,Features,VIF Factor
0,Intercept,683.2538945246672
1,address_1,1.3143296978400427
2,address_15,1.1417322640760814
3,address_22,1.0952152952041911
4,address_28,1.0863480794683673
5,address_3,1.3488952330118513
6,address_32,1.0775279072517467
7,address_4,1.379666569838002
8,addresscat_2,2.5982966542552415
9,addresscat_3,2.237420519849904
10,addresscat_4,1.9268634824227773
11,agecat_4,2.6492533462145227
12,agecat_5,3.678365387051623
13,agecat_6,4.856405403514066
14,bfast_2,2.0738048426363065
15,bfast_3,1.475232647240798
16,callid_1,2.256919592370168
17,callwait_1,2.2103204307886717
18,carcatvalue_1,inf
19,carcatvalue_2,inf
20,carcatvalue_3,inf
21,card2_2,2.1344088725904777
22,card2_3,2.2033192742364562
23,card2_4,2.3397073076912043
24,card2_5,1.4862178337240854
25,card2benefit_3,1.0197277113210468
26,card2tenure_1,3.3938858359607957
27,card2tenure_19,1.120380936980749
28,card2tenure_26,1.0831411827511828
29,card2tenure_3,1.4824977053893835
30,card2tenure_4,1.5562011528973947
31,card2tenurecat_2,3.9293681992417078
32,card2tenurecat_4,2.5173571122277667
33,card2tenurecat_5,7.925487140300263
34,card_2,2.011250399633333
35,card_3,1.995962255551561
36,card_4,2.2441091714903267
37,card_5,1.3135293285861191
38,cardten,2.5910423162516247
39,cardtenure_1,2.462152075265695
40,cardtenure_15,1.2614168059064303
41,cardtenure_29,1.0727138000467107
42,cardtenure_31,1.0511969630142346
43,cardtenure_4,1.3421172575401203
44,cardtenurecat_3,3.2130392995512933
45,cardtenurecat_4,4.802116494595395
46,cardtenurecat_5,13.562747077854006
47,carown_0,inf
48,carown_1,inf
49,cars_1,1.1213749064523142
50,carvalue,14.991336806108151
51,commute_4,1.118081065791913
52,confer_1,2.2967453904392023
53,creddebt,3.6610155133350206
54,ebill_1,1.872923844249633
55,ed,3.9978611954688823
56,edcat_2,1.3026232550836552
57,edcat_4,2.53051513710389
58,edcat_5,2.283319762908337
59,empcat_4,1.666103530247211
60,empcat_5,3.109618499412525
61,employ_1,1.157961429236202
62,employ_14,1.1863056709533744
63,employ_17,1.128968597641597
64,employ_24,1.0688768337429178
65,employ_26,1.0630889774628582
66,employ_32,1.0508899100029878
67,equip_1,19.89391501461657
68,equipmon,38.170814739974716
69,equipten,8.202033683931463
70,forward_1,2.181546088491354
71,gender_1,1.034023929032617
72,homeown_1,2.20398595826778
73,hometype_2,2.2543294786109254
74,hometype_3,1.134508453641129
75,hourstv,1.3788858750409239
76,inccat_2,5.204966745367436
77,inccat_3,7.882327417216686
78,inccat_4,10.517105763901695
79,inccat_5,12.923038666120448
80,income,22.525387672452283
81,internet_3,1.2678877741483454
82,internet_4,1.505038658683748
83,jobcat_2,1.4367247557683414
84,jobcat_3,1.1142522817312395
85,jobsat_4,1.170931857955558
86,jobsat_5,1.282292378499049
87,lncreddebt,3.7483984787986917
88,lninc,36.877591845394406
89,lnlongmon,34.13829497241386
90,lnlongten,32.56599179050554
91,lnothdebt,4.70840522411579
92,longmon,157.56407146122203
93,longten,125.53091361291956
94,multline_1,1.7161700335891235
95,news_1,1.6211088265835623
96,othdebt,4.598535523260395
97,owncd_1,1.6452277970569409
98,owndvd_1,1.6789060334002945
99,ownfax_1,1.7784985349649478
100,owngame_1,1.5306705446843738
101,ownipod_1,1.4988610837246004
102,ownpc_1,1.7027493164305267
103,ownpda_1,1.7738712362746396
104,owntv_1,1.7063014841437594
105,ownvcr_1,1.7083558690258984
106,pager_1,2.3009236573072487
107,polcontrib_1,1.038853265450721
108,polview_6,1.0505736395635663
109,reason_2,1.0352919520848312
110,reason_4,1.025862328814448
111,region_5,1.031110341922897
112,response_03_1,1.0514516679810328
113,retire_1,3.178159292139326
114,spoused,1.4718128887409965
115,spousedcat_1,1.242190123128338
116,spousedcat_4,1.377182515869931
117,tenure,32.03020693810352
118,tollfree_1,6.3826657289340964
119,tollmon,21.411150762710236
120,tollten,12.389501011293325
121,voice_1,2.197193767595225
122,vote_1,1.0647821887526332
123,wireless_1,8.967822726543448
124,wiremon,30.151563994177202
125,wireten,12.5457450380385
